pincode,latitude,longitude
110001,28.606119817391306,77.2209293173913
110002,28.63519389,77.23739055
110003,28.595196069999997,77.22838761
110004,28.6210833,77.1961389
110005,27.822291675,77.1644999875
110006,28.652007875,77.2241922875
110007,28.67359318181818,77.20531777272727
110008,28.64263888,77.1754
110009,28.70385405,77.1993124625
110010,36.05793803076923,69.42810043076923
110011,28.610986099999998,77.21380554999999
110012,28.6363611,77.16133333333333
110013,28.589486100000002,77.2464583
110014,28.579201375,77.25380555
110015,28.657799285714283,77.13125761428572
110016,28.5457037,77.19965741666667
110017,28.5319738125,77.2146171375
110018,28.330520191666665,76.27940720833334
110019,28.5397292,77.27038892499999
110020,38.289652860000004,67.52661040000001
110021,28.592486100000002,77.166375
110022,28.563638887499998,77.1724930625
110023,38.297494439999994,67.48229444
110024,28.563847250000002,77.2340217
110025,28.557827780000004,77.27961668
110026,28.658085775,77.13170975
110027,28.642537283333336,77.11687058333332
110028,28.6313205,77.13688435
110029,28.588833366666666,77.17971296666666
110030,28.519749985714288,77.18456348571428
110031,28.669238085714287,77.27432935714286
110032,28.67282263846154,77.29726493846154
110033,28.723717583333336,77.17099998333333
110034,28.695146842857145,77.13748411428571
110035,28.680592414285716,77.16264871428572
110036,28.79801538888889,77.11978394444445
110037,28.54615,77.10663334
110038,28.51969445,77.1199028
110039,28.7996944,77.03805550909091
110040,28.849454825,77.087048575
110041,28.672674125,77.03191626666667
110042,28.741790614285716,77.13669655714286
110043,28.640699,74.9549419
110044,38.27802904,67.50290039000001
110045,26.361626939999997,77.36710472
110046,28.6110556,77.10586115
110047,28.464888875,77.1314722
110048,28.54176853333333,77.2388704
110049,28.559500216666667,77.21791113333335
110051,28.660645825,77.291340275
110052,28.68178286,77.1776389
110053,28.65435801111111,77.25887037777778
110054,28.687274660000003,77.22421464
110055,28.637909999999998,77.19938336
110056,28.6827222,77.1111111
110057,28.56294445,77.15758335
110058,28.62873566,77.09654814000001
110059,28.623014899999998,77.17212035714286
110060,28.6367222,77.1831111
110061,28.53655555,77.28469444999999
110062,36.63808796666667,69.11858796666667
110063,28.66855906,77.11112069999999
110064,28.6247232,75.91598538000001
110065,28.56102578,77.25219842
110066,28.5625556,77.1781389
110067,28.548398133333336,77.173
110068,28.5012222,77.20030555
110069,28.6225833,77.2127222
110070,28.520824066666666,77.1577963
110071,28.5709037,77.185244725
110072,28.644252350000002,77.45851865
110073,27.099874581818185,80.6810964
110074,28.501062066666666,77.1867854
110075,28.588594366666666,77.05011359999999
110076,28.528277766666665,77.3003889
110077,28.568251120000003,77.06289424
110078,28.613895,77.06544219999999
110080,36.62501423333333,69.12195398333334
110081,28.734916558333328,77.00555546666666
110082,40.858874975,65.03229164999999
110083,28.69819445,77.08843055
110084,35.669377142857144,70.28283785714287
110085,28.7124186375,77.133018675
110086,28.699312344444447,77.07640737777778
110087,28.675387233333336,77.08653523333334
110088,28.703796300000004,77.16324073333332
110089,28.73480555,77.1325
110090,28.70345077142857,77.2887649
110091,28.62391665714286,77.30280555714286
110092,28.657012344444443,77.29079936666666
110093,28.68992895,77.30706646666667
110094,28.696148133333335,77.29725
110095,28.6803175125,77.317744425
110096,28.6162011,77.32758296666667
110097,28.5249456,77.0710038
110099,28.720596,77.080909
110110,28.7158,77.11
121001,28.3323298625,77.4553402625
121002,28.45596371666667,77.32843283333334
121003,38.18622938,67.55323605999999
121004,27.988981747826088,77.85009918695653
121005,28.38069445,77.2943889
121006,28.371881000000002,77.32084259999999
121007,28.38731953333333,77.32235659999999
121008,28.3917778,77.3021389
121009,28.4881111,77.2945833
121010,28.51061945,77.6399639
121012,28.3917778,77.3021389
121013,28.3917778,77.3021389
121014,28.4726,77.4848
121015,28.3453,77.2965
121101,27.120631155555557,81.51445754444444
121102,27.556825879166666,77.913564725
121103,30.556578408333333,72.665946025
121105,27.9583466,72.47432581000001
121106,28.47744854,76.94044656
121107,27.412367885714282,76.83257038571428
122001,28.461140218181814,77.02951565454545
122002,28.466093,77.1058349
122003,28.44960056,77.06522058
122004,28.413813233333332,76.99296301666668
122005,28.5056111,77.0710556
122006,28.469851525,77.032576725
122007,28.462,77.0316389
122008,28.462,77.0316389
122009,28.3408889,76.7561944
122010,28.466093,77.1058349
122011,28.462,77.0316389
122012,28.413887,76.9931945
122015,28.4973611,77.0630556
122016,28.4965833,77.0852778
122017,28.48461725,77.0315932
122018,28.462,77.0316389
122051,28.343123499999997,76.9401834
122052,28.342,76.9364722
122098,28.3913822,77.0511932
122101,28.39167242,77.05193790000001
122102,28.347121042857143,77.06433475714286
122103,28.261108250000003,77.06594581666667
122104,27.785818233333334,76.94625156666666
122105,28.222943241666666,76.94042102499999
122107,28.096554259999998,76.90194482000001
122108,27.9204,76.984468
122413,29.387631,77.446429
122414,28.274485833333333,76.73141231666666
122502,28.291429341666667,76.69573051666667
122503,28.326806542857145,76.77723482857142
122504,28.4505339625,77.0405621375
122505,28.424405366666665,76.91778906666667
122506,28.44729792,76.82487582
122508,27.826964470588237,77.17863219411765
123001,28.058876285714284,76.14972604285715
123021,28.10088243125,76.25362701249999
123023,27.892471607692308,76.11055550769231
123024,28.378713936363635,75.96475403636363
123027,28.33619275882353,76.30647045882354
123028,28.141741483333334,76.12737343333333
123029,28.26003297368421,76.14042199999999
123031,28.271019,76.149389
123034,28.2743167,76.22211498749999
123035,28.356180539999997,76.6233692
123101,28.20236657142857,76.54282930000001
123102,28.146428925,76.3953151
123103,28.192921766666668,76.39833833333333
123106,28.231330077777777,76.80125533333334
123110,28.2335556,77.8032778
123301,28.3589408,76.53534
123302,28.399265585714286,76.48366997857143
123303,28.40967232727273,76.39709727272727
123401,28.202418396551728,76.59895056551723
123411,28.295285435714284,76.38381044285714
123412,28.12343105,76.535583075
123501,28.07016599166667,76.58000585
124001,32.16799702857143,73.19563152142858
124010,28.6847522875,76.612093225
124021,28.52760342222222,76.41057467777777
124022,28.7436083,76.6412789
124102,28.741852366666667,76.88181638333334
124103,28.65933225909091,76.63842886363636
124104,28.70428508,76.65795523
124105,28.599871545454548,76.82058418181818
124106,28.691451563636363,76.48004698181819
124107,28.696129739999996,76.78590374000001
124108,28.7034021125,76.5291163625
124109,28.500946799999998,76.57095253333334
124111,28.765850420000003,76.49518258
124112,28.752081711111114,76.49201271111112
124113,28.651769660000003,76.62716056
124141,28.8955833,76.5925278
124142,28.53322804,76.38596362
124146,28.6457900375,76.7023814625
124201,28.69519847142857,76.5519206857143
